Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Recovery rate,Death rate,hover_name,New Cases,New Recovered,New Deaths
Bahia,Brazil,-12.5797,-41.7007,21430,736,0,20694,144.08597986265642,3.4344377041530563,0.0,0.034344377041530566,"Bahia, Brazil",0,0,0
Baja California,Mexico,30.8406,-115.2838,5231,879,3830,522,143.9116908784583,16.803670426304723,0.7321735805773275,0.16803670426304723,"Baja California, Mexico",0,0,0
Baja California Sur,Mexico,26.0444,-111.6661,660,35,529,96,82.01732802457538,5.303030303030303,0.8015151515151515,0.05303030303030303,"Baja California Sur, Mexico",0,0,0
Baleares,Spain,39.710358,2.995148,2150,209,1533,408,180.94292302772212,9.72093023255814,0.7130232558139535,0.09720930232558139,"Baleares, Spain",0,0,0
Bashkortostan Republic,Russia,54.8573563,57.1439682,3409,18,1138,2253,83.89746936782555,0.5280140803754767,0.3338222352596069,0.005280140803754767,"Bashkortostan Republic, Russia",0,0,0
Basilicata,Italy,40.63947052,15.80514834,399,27,348,24,70.8868315718222,6.7669172932330826,0.8721804511278195,0.06766917293233082,"Basilicata, Italy",0,0,0
Bayern,Germany,48.7904,11.4979,47298,2472,43140,1686,361.6961775050489,5.226436635798554,0.9120893061017379,0.05226436635798554,"Bayern, Germany",0,0,0
Beijing,China,40.1824,116.4142,593,9,581,3,2.7530176415970287,1.5177065767284992,0.9797639123102867,0.01517706576728499,"Beijing, China",0,0,0
Belgorod Oblast,Russia,50.7080119,37.5837615,2471,20,999,1452,159.43210940746226,0.8093889113719142,0.40428976123027116,0.008093889113719142,"Belgorod Oblast, Russia",0,0,0
Berlin,Germany,52.52,13.405,6873,198,6358,317,188.56867241399175,2.880838061981668,0.9250691110141132,0.028808380619816675,"Berlin, Germany",0,0,0
Bermuda,United Kingdom,32.3078,-64.7505,141,9,113,19,226.42236603343346,6.382978723404255,0.8014184397163121,0.06382978723404255,"Bermuda, United Kingdom",0,0,0
Biobio,Chile,-37.4464,-72.1416,2082,0,0,2082,133.73543892780407,0.0,0.0,0.0,"Biobio, Chile",0,0,0
Bolivar,Colombia,8.6704,-74.03,3270,155,611,2504,157.96262034384642,4.7400611620795114,0.18685015290519877,0.047400611620795105,"Bolivar, Colombia",0,0,0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,7,0,7,0,26.696159566759466,0.0,1.0,0.0,"Bonaire, Sint Eustatius and Saba, Netherlands",0,0,0
Boyaca,Colombia,5.4545,-73.362,211,11,90,110,17.332360749677996,5.213270142180095,0.4265402843601896,0.052132701421800945,"Boyaca, Colombia",0,0,0
Brandenburg,Germany,52.4125,12.5316,3286,170,3010,106,130.81642426879552,5.173463177115035,0.9160073037127207,0.051734631771150334,"Brandenburg, Germany",0,0,0
Bremen,Germany,53.0793,8.8017,1448,42,1200,206,212.01020225890431,2.9005524861878453,0.8287292817679558,0.029005524861878452,"Bremen, Germany",0,0,0
British Columbia,Canada,53.7267,-127.6476,2601,165,2229,207,50.891063188856315,6.3437139561707045,0.8569780853517878,0.06343713956170703,"British Columbia, Canada",0,0,0
British Virgin Islands,United Kingdom,18.4207,-64.64,8,1,7,0,26.457651222012768,12.5,0.875,0.125,"British Virgin Islands, United Kingdom",0,0,0
Bryansk Oblast,Russia,52.887331499999995,33.41585300000001,3885,31,2422,1432,320.8140170539281,0.797940797940798,0.6234234234234234,0.00797940797940798,"Bryansk Oblast, Russia",0,0,0
Buryatia Republic,Russia,52.718242599999996,109.492143,1563,10,874,679,158.7590184365639,0.6397952655150352,0.5591810620601407,0.006397952655150352,"Buryatia Republic, Russia",0,0,0
C. Valenciana,Spain,39.484,-0.7533,11238,1332,9970,0,225.89085479728615,11.852642819006938,0.8871685353265706,0.11852642819006941,"C. Valenciana, Spain",0,0,0
Cajamarca,Peru,-6.430284,-78.74559599999998,786,6,0,780,54.068927564146655,0.7633587786259542,0.0,0.007633587786259542,"Cajamarca, Peru",0,0,0
Calabria,Italy,38.90597598,16.59440194,1158,97,949,112,59.472115640909635,8.376511226252159,0.8195164075993091,0.08376511226252159,"Calabria, Italy",0,0,0
Caldas,Colombia,5.2983,-75.2479,138,6,97,35,13.824123094800427,4.3478260869565215,0.7028985507246377,0.043478260869565216,"Caldas, Colombia",0,0,0
Callao,Peru,-11.954609,-77.136042,12495,329,0,12166,1105.8500752278962,2.633053221288516,0.0,0.026330532212885154,"Callao, Peru",0,0,0
Campania,Italy,40.83956555,14.25084984,4809,415,3504,890,82.88961220278497,8.629652734456227,0.7286338116032439,0.08629652734456228,"Campania, Italy",0,0,0
Campeche,Mexico,19.8301,-90.5349,612,92,398,122,61.162262883800686,15.032679738562093,0.6503267973856209,0.1503267973856209,"Campeche, Mexico",0,0,0
Canarias,Spain,28.2916,-16.6291,2351,151,1537,663,106.52947277653143,6.422798809017439,0.6537643555933645,0.0642279880901744,"Canarias, Spain",0,0,0
Cantabria,Spain,43.1828,-3.9878,2314,202,2287,0,397.8399046834732,8.729472774416593,0.9883318928262749,0.08729472774416594,"Cantabria, Spain",0,0,0
Capital District,Colombia,4.711,-74.0721,10370,273,3715,6382,139.89757393053907,2.632594021215044,0.35824493731919,0.026325940212150435,"Capital District, Colombia",0,0,0
Caqueta,Colombia,0.8699,-73.8419,24,1,16,7,5.977747833689093,4.166666666666667,0.6666666666666666,0.041666666666666664,"Caqueta, Colombia",0,0,0
Casanare,Colombia,5.7589,-71.5724,35,0,24,11,8.323345318950592,0.0,0.6857142857142857,0.0,"Casanare, Colombia",0,0,0
Castilla - La Mancha,Spain,39.2796,-3.0977,17310,2945,6392,7973,850.6656667700308,17.01328711727325,0.36926632004621607,0.1701328711727325,"Castilla - La Mancha, Spain",0,0,0
Castilla y Leon,Spain,41.8357,-4.3976,18925,1924,8716,8285,786.0090799104387,10.166446499339498,0.460554821664465,0.10166446499339497,"Castilla y Leon, Spain",0,0,0
Catalonia,Spain,41.5912,1.5209,59035,5587,26203,27245,780.2225382085687,9.46387736088761,0.4438553400525112,0.09463877360887608,"Catalonia, Spain",0,0,0
Cauca,Colombia,2.705,-76.82600000000002,103,4,47,52,7.0331747341050255,3.8834951456310685,0.4563106796116505,0.038834951456310676,"Cauca, Colombia",0,0,0
Cayman Islands,United Kingdom,19.3133,-81.2546,151,1,77,73,229.76262933657944,0.6622516556291391,0.5099337748344371,0.006622516556291391,"Cayman Islands, United Kingdom",0,0,0
Ceara,Brazil,-5.4984,-39.3206,53073,3421,0,49652,581.1711200889873,6.445838750400393,0.0,0.06445838750400391,"Ceara, Brazil",0,0,0
Cesar,Colombia,9.3373,-73.6536,287,12,60,215,23.905231997361263,4.181184668989547,0.20905923344947736,0.041811846689895474,"Cesar, Colombia",0,0,0
Ceuta,Spain,35.8894,-5.3213,155,4,163,0,182.72053189357413,2.5806451612903225,1.0516129032258064,0.025806451612903226,"Ceuta, Spain",0,0,0
