Province/State,Country/Region,Lat,Long_,Total Cases,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Death rate,hover_name,New Cases,New Recovered,New Deaths
Saint Lucia,Saint Lucia,13.9094,-60.9789,18,0,18,0,9.802373263482348,0.0,0.0,Saint Lucia,0,0,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,26,0,14,12,23.43461292328769,0.0,0.0,Saint Vincent and the Grenadines,1,0,0
San Marino,San Marino,43.9424,12.4578,671,42,344,285,1977.1347751782666,6.259314456035768,0.06259314456035768,San Marino,1,22,0
Sao Tome and Principe,Sao Tome and Principe,0.18636,6.613081,463,12,68,383,211.2602150930138,2.591792656587473,0.02591792656587473,Sao Tome and Principe,5,0,0
Saudi Arabia,Saudi Arabia,23.885942,45.079162,81766,458,57013,24295,234.86618134090077,0.5601350194457354,0.005601350194457354,Saudi Arabia,1581,2460,17
Senegal,Senegal,14.4974,-14.4524,3429,41,1738,1650,20.479063159007474,1.1956838728492272,0.011956838728492273,Senegal,81,52,2
Serbia,Serbia,44.0165,21.0059,11354,242,6524,4588,129.94757003537677,2.1314074335036106,0.021314074335036112,Serbia,54,86,1
Seychelles,Seychelles,-4.6796,55.492,11,0,11,0,11.185682326621924,0.0,0.0,Seychelles,0,0,0
Sierra Leone,Sierra Leone,8.460555000000001,-11.779889,829,45,386,398,10.392397628928725,5.428226779252112,0.054282267792521106,Sierra Leone,17,25,0
Singapore,Singapore,1.2833,103.8333,33860,23,19631,14206,578.7694841140084,0.06792675723567633,0.0006792675723567631,Singapore,611,1337,0
Slovakia,Slovakia,48.669,19.699,1520,28,1338,154,27.840648188901728,1.8421052631578947,0.018421052631578946,Slovakia,0,6,0
Slovenia,Slovenia,46.1512,14.9955,1473,108,1357,8,70.85368833612644,7.331975560081466,0.07331975560081466,Slovenia,0,1,0
Somalia,Somalia,5.152149,46.199616,1828,72,310,1446,11.501760593621722,3.938730853391685,0.03938730853391685,Somalia,0,0,0
South Africa,South Africa,-30.5595,22.9375,29240,611,15093,13536,49.30137556570546,2.0896032831737346,0.020896032831737348,South Africa,1837,723,34
South Sudan,South Sudan,6.877000000000002,31.307,994,10,6,978,8.879971991460573,1.0060362173038229,0.01006036217303823,South Sudan,0,0,0
Sri Lanka,Sri Lanka,7.873054,80.77179699999998,1558,10,754,794,7.275868912939418,0.6418485237483954,0.006418485237483954,Sri Lanka,28,9,0
Sudan,Sudan,12.8628,30.2176,4521,233,816,3472,10.31032011046752,5.1537270515372695,0.051537270515372706,Sudan,175,67,38
Suriname,Suriname,3.9193,-56.0278,12,1,9,2,2.0455684464248582,8.333333333333334,0.08333333333333333,Suriname,0,0,0
Sweden,Sweden,60.128161,18.643501,36476,4350,4971,27155,361.1746195517102,11.925649742296304,0.11925649742296304,Sweden,749,0,84
Switzerland,Switzerland,46.8182,8.2275,30828,1919,28300,609,356.20289653454375,6.22486051641365,0.0622486051641365,Switzerland,32,0,0
Syria,Syria,34.802075,38.99681500000001,122,4,43,75,0.6971166853907256,3.278688524590164,0.03278688524590164,Syria,0,0,0
Taiwan,Taiwan,23.7,121.0,442,7,420,15,1.8558348055099818,1.5837104072398192,0.01583710407239819,Taiwan,1,0,0
Tajikistan,Tajikistan,38.861034,71.276093,3686,47,1769,1870,38.6468689011393,1.2750949538795442,0.012750949538795442,Tajikistan,123,95,0
Tanzania,Tanzania,-6.369028,34.888822,509,21,183,305,0.852107987092757,4.12573673870334,0.0412573673870334,Tanzania,0,0,0
Thailand,Thailand,15.870032,100.992541,3076,57,2945,74,4.406878179818338,1.8530559167750325,0.018530559167750326,Thailand,11,0,0
Timor-Leste,Timor-Leste,-8.874217,125.727539,24,0,24,0,1.8203303596214317,0.0,0.0,Timor-Leste,0,0,0
Togo,Togo,8.6195,0.8248,428,13,202,213,5.169870718202547,3.037383177570093,0.030373831775700934,Togo,6,5,0
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,116,8,108,0,8.288727830332599,6.896551724137932,0.06896551724137931,Trinidad and Tobago,0,0,0
Tunisia,Tunisia,33.886917,9.537499,1071,48,946,77,9.061973235787804,4.481792717086835,0.04481792717086835,Tunisia,3,8,0
Turkey,Turkey,38.9637,35.2433,162120,4489,125963,31668,192.2240851917416,2.7689365901801133,0.027689365901801134,Turkey,1141,1594,28
Uganda,Uganda,1.373333,32.290275,329,0,72,257,0.7192671782427145,0.0,0.0,Uganda,12,3,0
Ukraine,Ukraine,48.3794,31.1656,22811,679,8934,13198,52.15879110688839,2.9766340800490987,0.02976634080049099,Ukraine,429,495,10
United Arab Emirates,United Arab Emirates,23.424076,53.847818,33170,260,17097,15813,335.37571786783144,0.7838408200180886,0.007838408200180886,United Arab Emirates,638,412,2
United Kingdom,United Kingdom,55.3781,-3.4360000000000004,271222,38161,0,233061,399.5256518560144,14.070023818126847,0.14070023818126848,United Kingdom,0,0,0
Uruguay,Uruguay,-32.5228,-55.7658,816,22,680,114,23.49061972918425,2.6960784313725488,0.02696078431372549,Uruguay,5,26,0
Uzbekistan,Uzbekistan,41.377491,64.585262,3468,14,2728,726,10.361765753641134,0.40369088811995385,0.004036908881199538,Uzbekistan,24,34,0
Venezuela,Venezuela,6.4238,-66.5897,1370,14,302,1054,4.817846202603515,1.0218978102189782,0.010218978102189781,Venezuela,45,0,3
Vietnam,Vietnam,14.058324,108.277199,328,0,279,49,0.33696812701701234,0.0,0.0,Vietnam,1,1,0
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,446,3,368,75,8.742670662420004,0.672645739910314,0.006726457399103139,West Bank and Gaza,0,0,0
Western Sahara,Western Sahara,24.2155,-12.8858,9,1,6,2,1.5067048365225253,11.111111111111109,0.1111111111111111,Western Sahara,0,0,0
Yemen,Yemen,15.552727,48.516388,283,65,11,207,0.9488376035272349,22.968197879858657,0.22968197879858657,Yemen,5,0,8
Zambia,Zambia,-13.133897,27.849332,1057,7,779,271,5.749578599948782,0.6622516556291391,0.006622516556291391,Zambia,0,0,0
Zimbabwe,Zimbabwe,-19.015438,29.154857,149,4,28,117,1.002494326992254,2.684563758389262,0.026845637583892617,Zimbabwe,0,0,0
Andaman and Nicobar Islands,India,11.7401,92.6586,33,0,33,0,,,0.0,"Andaman and Nicobar Islands, India",8377,11450,260
Andhra Pradesh,India,15.9129,79.74,3436,60,2226,1150,,,0.017462165308498253,"Andhra Pradesh, India",0,0,0
Arunachal Pradesh,India,28.218000000000004,94.7278,3,0,1,2,,,0.0,"Arunachal Pradesh, India",0,0,0
Assam,India,26.2006,92.9376,1024,4,125,895,,,0.00390625,"Assam, India",0,0,0
Bihar,India,25.0961,85.3131,3376,15,1211,2150,,,0.004443127962085308,"Bihar, India",0,0,0
Chandigarh,India,30.7333,76.7794,289,4,189,96,,,0.01384083044982699,"Chandigarh, India",0,0,0
Chhattisgarh,India,21.2787,81.8661,415,1,100,314,,,0.0024096385542168677,"Chhattisgarh, India",0,0,0
Dadar Nagar Haveli,India,20.1809,73.0169,2,0,0,2,,,0.0,"Dadar Nagar Haveli, India",0,0,0
Delhi,India,28.7041,77.1025,17386,398,7846,9142,,,0.02289198205452663,"Delhi, India",0,0,0
Goa,India,15.2993,74.124,69,0,41,28,,,0.0,"Goa, India",0,0,0
